id,name,age,gender,university,faculty,year,rent_total,expected_rent,district,latitude,longitude,has_pets,smoker,max_commute_min
S0054,Pablo Salazar,18,M,UCS,Ingeniería,4,1528,764,Los Olivos,-11.968003,-77.0791,False,False,42
S0055,Vanessa Paredes,20,F,USIL,Ingeniería,3,1046,523,La Molina,-12.055951,-76.916775,False,False,32
S0056,Sofía Gómez,18,F,PUCP,Ciencias,5,1033,516,Surco,-12.143822,-76.997587,True,True,56
S0057,Sebastián Vargas,25,M,UNI,Derecho,5,981,490,Comas,-12.008654,-77.066334,False,False,32
S0058,Rafael Delgado,23,M,UNI,Psicología,5,1013,506,Los Olivos,-11.970886,-77.069449,False,True,52
S0059,Pablo Molina,19,M,PUCP,Ingeniería,4,1371,686,La Molina,-12.067916,-76.935458,False,False,47
S0060,Andrés Cabrera,19,M,UL,Medicina,5,993,496,Magdalena,-12.083013,-77.077089,False,True,56
S0061,Vanessa Ramírez,20,F,UCS,Ciencias,5,1199,600,La Molina,-12.067857,-76.932723,True,True,43
S0062,Alejandro Mejía,20,M,UL,Economía,4,1457,728,San Isidro,-12.099885,-77.038556,False,True,58
S0063,Andrés Alvarado,25,M,UTP,Ciencias,3,1421,710,La Molina,-12.063444,-76.92255,False,False,39
S0064,Marisol Espinoza,19,F,UPC,Arquitectura,3,1207,604,Magdalena,-12.092723,-77.067087,True,False,23
S0065,Sheltty Zamora,23,F,UCS,Economía,5,1376,688,San Miguel,-12.052975,-77.082791,True,False,27
S0066,Verónica Ramos,18,F,USIL,Medicina,1,1137,568,San Miguel,-12.059344,-77.091187,False,False,48
S0067,Sergio Luna,19,M,USIL,Ciencias,4,1049,524,Magdalena,-12.083435,-77.069629,True,True,32
S0068,Martín Quispe,18,M,PUCP,Medicina,2,1587,794,Surco,-12.148903,-76.995012,True,True,30
S0069,José Ortega,18,M,UNMSM,Derecho,3,1472,736,San Isidro,-12.091861,-77.040066,True,False,56
S0070,Oscar Alvarado,24,M,UCS,Diseño,3,1141,570,Comas,-11.994002,-77.074676,False,True,32
S0071,Renato Herrera,20,M,PUCP,Informática,4,1547,774,San Isidro,-12.091962,-77.032217,False,True,48
S0072,Carlos Huamán,25,M,PUCP,Derecho,5,1377,688,San Miguel,-12.063534,-77.090214,True,True,21
S0073,Natalia Carrasco,20,F,PUCP,Diseño,5,977,488,Miraflores,-12.111716,-77.029899,True,True,48
S0074,Andrea Yáñez,19,F,USIL,Medicina,4,855,428,San Miguel,-12.060954,-77.090486,True,False,44
S0075,María Huamán,25,F,UCS,Arte,4,868,434,San Miguel,-12.056992,-77.078819,True,False,53
S0076,Valeria Salazar,18,F,UTP,Psicología,3,917,458,Magdalena,-12.097889,-77.061966,False,False,22
S0077,Héctor Rojas,18,M,UNMSM,Derecho,3,1463,732,San Miguel,-12.064805,-77.092898,False,False,49
S0078,Andrea Vargas,20,F,UNMSM,Psicología,4,1111,556,San Isidro,-12.086497,-77.04008,True,True,34
S0079,Valeria Cruz,25,F,UTP,Medicina,1,867,434,Surco,-12.157297,-76.999177,True,True,45
S0080,Ana Ramírez,22,F,UNMSM,Medicina,1,1106,553,San Miguel,-12.054112,-77.093069,False,True,60
S0081,Alejandro Peña,25,M,PUCP,Ingeniería,3,995,498,Surco,-12.156724,-76.99819,True,False,58
S0082,Víctor Bravo,24,M,UNMSM,Arquitectura,3,912,456,Comas,-11.999712,-77.074679,True,True,27
S0083,Carlos Quispe,18,M,UPC,Informática,1,1083,542,Miraflores,-12.11452,-77.023867,True,True,42
S0084,Renato Quispe,23,M,UTP,Ciencias,4,944,472,Magdalena,-12.091197,-77.061798,False,False,27
S0085,Juliana Valdez,21,F,UPC,Derecho,4,1314,657,Los Olivos,-11.967674,-77.073997,True,False,41
S0086,Pablo León,22,M,UTP,Ciencias,3,1361,680,San Miguel,-12.047286,-77.093457,False,False,59
S0087,Renato Fernández,18,M,PUCP,Ingeniería,2,1417,708,San Miguel,-12.047563,-77.094408,True,True,25
S0088,Sofía Chávez,19,F,UPC,Administración,2,1237,618,Los Olivos,-11.979611,-77.077884,True,True,32
S0089,Manuel Reyes,22,M,UNMSM,Informática,3,1304,652,La Molina,-12.054932,-76.928591,False,True,47
S0090,Lorena Peña,22,F,UCS,Arquitectura,5,1189,594,Comas,-12.004587,-77.070339,False,True,36
S0091,Ricardo Delgado,20,M,UNI,Medicina,4,1437,718,Comas,-12.005603,-77.076472,True,False,60
S0092,Nicolás Gómez,19,M,UCS,Derecho,1,1261,630,Magdalena,-12.090844,-77.075252,False,True,56
S0093,Juan Molina,20,M,UTP,Derecho,2,977,488,La Molina,-12.067319,-76.925286,True,True,27
S0094,Lucía Mendoza,21,F,UTP,Informática,1,1186,593,Surco,-12.147556,-76.993618,True,False,48
S0095,Jessica Zamora,21,F,UPC,Administración,1,1206,603,La Molina,-12.06083,-76.933069,False,True,29
S0096,Víctor Sánchez,22,M,USIL,Informática,1,1101,550,Surco,-12.141428,-76.981437,False,False,32
S0097,Víctor García,19,M,UNI,Arte,3,1500,750,San Isidro,-12.088343,-77.032404,True,True,28
S0098,Brenda Campos,21,F,UL,Arquitectura,5,1165,582,Surco,-12.1427,-76.988559,True,True,28
S0099,Pablo Valdez,23,M,UAP,Informática,4,1449,724,Los Olivos,-11.963764,-77.064202,False,True,35
S0100,Sebastián Quispe,22,M,UTP,Ingeniería,1,978,489,Comas,-11.989918,-77.077554,False,True,52
S0101,Tania Castillo,23,F,USIL,Derecho,2,1560,780,Surco,-12.142494,-76.994031,True,True,53
S0102,Luz Castillo,21,F,UAP,Ciencias,1,1537,768,Surco,-12.150468,-76.981284,True,True,31
S0103,Diana Aguilar,21,F,UL,Derecho,2,1166,583,Los Olivos,-11.974364,-77.06326,True,False,56
S0104,Lorena Silva,18,F,PUCP,Derecho,1,1598,799,Miraflores,-12.131004,-77.035222,True,False,42
S0105,Diana Silva,19,F,UNMSM,Ingeniería,5,1316,658,La Molina,-12.067824,-76.923894,False,False,47
S0106,Vanessa Aguilar,18,F,UAP,Diseño,5,1519,760,Magdalena,-12.097584,-77.067217,False,True,34
S0107,Sheltty Huamán,20,F,UTP,Diseño,5,986,493,Magdalena,-12.081079,-77.06257,True,True,57
S0108,Jimena Rojas,20,F,UPC,Ciencias,1,1466,733,La Molina,-12.056686,-76.919954,True,False,33
S0109,Fernando Peña,22,M,UNI,Arquitectura,4,982,491,San Isidro,-12.105834,-77.041807,False,False,30
S0110,Aler Palomino,24,M,USIL,Arte,5,1015,508,La Molina,-12.061899,-76.925305,True,True,30
S0111,María Vargas,25,F,UCS,Ciencias,2,1564,782,Comas,-11.992867,-77.062246,True,False,55
S0112,Carlos Villegas,20,M,UL,Economía,4,1510,755,San Miguel,-12.061061,-77.088584,True,False,25
S0113,Elías Cabrera,22,M,UPC,Arquitectura,5,1287,644,Magdalena,-12.081245,-77.067827,True,False,56
S0114,Elena Tello,22,F,UNI,Derecho,1,1245,622,Los Olivos,-11.965842,-77.062751,True,True,47
S0115,Miguel Aguilar,20,M,UTP,Administración,4,942,471,Comas,-11.990818,-77.07183,False,True,47
S0116,Eduardo Palomino,20,M,PUCP,Ciencias,4,854,427,San Isidro,-12.10205,-77.039076,True,True,39
S0117,Patricia Silva,18,F,UTP,Ciencias,3,1234,617,Los Olivos,-11.97372,-77.07187,False,True,44
S0118,Manuel Suárez,22,M,PUCP,Psicología,5,952,476,La Molina,-12.06824,-76.918979,False,False,22
S0119,Carla Carrasco,22,F,UAP,Economía,1,1492,746,San Miguel,-12.05269,-77.079244,False,True,44
S0120,Ricardo Yáñez,18,M,UNMSM,Arte,3,1514,757,Miraflores,-12.12453,-77.026171,False,True,22
S0121,Jorge Fernández,22,M,UTP,Derecho,5,1451,726,San Miguel,-12.049913,-77.07899,True,False,26
S0122,Alejandro Ortega,19,M,UL,Ingeniería,2,972,486,San Miguel,-12.064038,-77.087126,True,True,55
S0123,Miranda Delgado,20,F,USIL,Medicina,3,971,486,San Isidro,-12.086481,-77.039455,False,False,32
S0124,Eduardo Campos,19,M,USIL,Derecho,3,1553,776,La Molina,-12.065043,-76.924313,True,False,21
S0125,Renato Campos,25,M,UNMSM,Informática,1,911,456,Miraflores,-12.121506,-77.021543,True,True,21
S0126,Tatiana Luna,20,F,USIL,Medicina,1,1074,537,Miraflores,-12.128676,-77.02994,False,True,29
S0127,Sebastián Herrera,18,M,UAP,Economía,2,1146,573,Surco,-12.155302,-76.988343,True,False,22
S0128,Daniel Huamán,22,M,USIL,Ingeniería,1,1313,656,La Molina,-12.05885,-76.92751,False,True,50
S0129,Elías Valdez,24,M,UAP,Arte,4,1077,538,Surco,-12.150018,-76.993713,False,True,57
S0130,Camila Ruiz,18,F,PUCP,Psicología,4,1366,683,La Molina,-12.066803,-76.921481,False,True,38
S0131,Pedro Mejía,18,M,UTP,Derecho,5,938,469,Miraflores,-12.127998,-77.033735,True,False,54
S0132,Julio Herrera,22,M,UAP,Arte,2,1448,724,Magdalena,-12.089398,-77.071661,False,True,56
S0133,Rosa Ramírez,20,F,UL,Ingeniería,2,1240,620,Surco,-12.14854,-76.993986,True,False,21
S0134,Noelia Delgado,19,F,UTP,Ciencias,1,1383,692,San Isidro,-12.095261,-77.035089,True,False,23
S0135,Marco Herrera,20,M,UCS,Medicina,5,1029,514,Los Olivos,-11.96643,-77.071151,False,True,58
S0136,Gabriel Carrasco,22,M,UNI,Diseño,4,1067,534,Los Olivos,-11.967174,-77.073689,True,True,37
S0137,Jimena Valdez,25,F,UL,Arte,3,1600,800,Surco,-12.150981,-76.985241,False,False,26
S0138,Tania Flores,20,F,UNMSM,Informática,2,1074,537,San Miguel,-12.05702,-77.08513,False,False,34
S0139,Oscar Flores,18,M,UAP,Medicina,2,888,444,San Isidro,-12.104289,-77.028917,True,True,41
S0140,Diana Vargas,19,F,UNI,Economía,4,1262,631,Comas,-11.994976,-77.064914,True,True,51
S0141,Carlos Campos,18,M,UL,Ingeniería,3,801,400,Comas,-11.991159,-77.063531,False,True,52
S0142,Oscar Fernández,23,M,UPC,Ciencias,1,889,444,Miraflores,-12.12906,-77.034413,False,False,46
S0143,Claudia Paredes,21,F,UCS,Arte,1,1051,526,Miraflores,-12.126586,-77.032931,False,False,30
S0144,Juliana Herrera,21,F,UTP,Ingeniería,5,1389,694,Magdalena,-12.082584,-77.072643,False,True,27
S0145,Enrique Díaz,21,M,UNMSM,Ciencias,2,1567,784,Magdalena,-12.092433,-77.07781,False,False,47
S0146,Mario Ruiz,25,M,UAP,Economía,5,1289,644,La Molina,-12.067341,-76.922161,True,False,32
S0147,Pedro Cabrera,21,M,UCS,Ciencias,4,984,492,Magdalena,-12.083572,-77.074308,True,False,37
S0148,Diego Carrasco,20,M,USIL,Arte,5,1484,742,Comas,-11.997056,-77.063793,True,True,35
S0149,Jorge Valdez,18,M,UCS,Arquitectura,5,1087,544,San Miguel,-12.058626,-77.095015,True,True,60
S0150,Valeria Montoya,19,F,UNMSM,Ingeniería,1,857,428,San Isidro,-12.099034,-77.031564,False,True,60
S0151,Aler Tello,19,M,UTP,Ciencias,5,1020,510,La Molina,-12.057158,-76.929375,False,True,23
S0152,Sergio Ibarra,18,M,USIL,Arquitectura,1,1133,566,Surco,-12.142924,-76.988364,False,False,37
S0153,Raúl Valdez,23,M,UNI,Arquitectura,5,1359,680,San Miguel,-12.047039,-77.077483,False,True,44
S0154,Juliana Zamora,20,F,UNI,Ingeniería,2,828,414,San Miguel,-12.065446,-77.079836,False,True,44
S0155,Pablo García,21,M,UTP,Economía,3,1122,561,La Molina,-12.057833,-76.928866,False,True,55
S0156,Cristian Gutiérrez,18,M,UCS,Medicina,2,898,449,San Miguel,-12.057452,-77.076653,False,True,33
S0157,Marco Cabrera,25,M,USIL,Medicina,5,1090,545,San Isidro,-12.08961,-77.036227,True,True,32
S0158,Rafael Molina,20,M,UTP,Economía,2,1339,670,San Miguel,-12.058508,-77.07891,True,False,30
S0159,María Aguilar,19,F,UTP,Ingeniería,2,1190,595,Magdalena,-12.090917,-77.072445,True,False,33
S0160,Mario Mendoza,20,M,UPC,Informática,2,1422,711,Magdalena,-12.096637,-77.066758,False,False,57
S0161,Rocío Ortega,21,F,USIL,Psicología,4,1538,769,La Molina,-12.055472,-76.932173,True,True,44
S0162,Rosa Mendoza,18,F,UNI,Medicina,2,943,472,San Miguel,-12.062774,-77.093545,False,True,55
S0163,Rodrigo Ortega,22,M,UNMSM,Ciencias,2,1267,634,Miraflores,-12.12495,-77.017797,False,False,48
S0164,Fernando Ibarra,22,M,UL,Medicina,4,977,488,San Miguel,-12.0585,-77.096096,False,True,39
S0165,Lorena Chávez,22,F,UTP,Informática,5,1281,640,Comas,-11.994785,-77.062358,False,True,27
S0166,Isabel Luna,23,F,UCS,Psicología,2,1060,530,Surco,-12.15076,-76.989758,True,False,54
S0167,Miguel Huamán,18,M,UNMSM,Arte,3,920,460,San Miguel,-12.062055,-77.092339,True,True,41
S0168,Julio García,24,M,UNMSM,Psicología,1,1155,578,Miraflores,-12.125939,-77.027619,False,False,38
S0169,Araceli Carrasco,22,F,UCS,Arte,2,946,473,San Miguel,-12.066658,-77.084091,True,False,54
S0170,Luz Alvarado,20,F,PUCP,Arte,1,1444,722,La Molina,-12.05588,-76.928597,True,False,25
S0171,Tatiana Ruiz,20,F,UTP,Arte,1,1404,702,Magdalena,-12.084047,-77.07413,False,False,21
S0172,Gabriel Cruz,21,M,UAP,Derecho,3,914,457,San Isidro,-12.098095,-77.042505,False,False,37
S0173,Bruno Ramírez,19,M,UAP,Ciencias,5,1189,594,San Isidro,-12.091138,-77.034626,False,True,24
S0174,Fernando Gómez,25,M,UL,Derecho,4,1357,678,Magdalena,-12.080536,-77.070664,False,False,58
S0175,Paola Zamora,22,F,USIL,Ingeniería,5,1190,595,La Molina,-12.057144,-76.930781,True,True,27
S0176,Rafael Vargas,22,M,PUCP,Ingeniería,5,1464,732,La Molina,-12.056678,-76.91739,False,True,24
S0177,Adrián Espinoza,20,M,UTP,Diseño,4,1274,637,Magdalena,-12.083184,-77.060033,True,True,32
S0178,Jorge Cruz,21,M,UTP,Derecho,5,1045,522,Magdalena,-12.09643,-77.075175,True,False,59
S0179,Sebastián Mejía,18,M,UPC,Psicología,1,1488,744,Surco,-12.158459,-76.995634,False,False,55
S0180,Luis Yáñez,19,M,UNMSM,Administración,3,1536,768,La Molina,-12.066407,-76.932669,True,True,40
S0181,Eduardo Luna,25,M,UNMSM,Ingeniería,5,813,406,Surco,-12.156567,-76.993597,False,False,26
S0182,Camila Rojas,22,F,UTP,Ciencias,1,1387,694,La Molina,-12.057935,-76.922707,False,False,25
S0183,Eduardo Valdez,19,M,UNI,Arte,2,957,478,San Miguel,-12.066226,-77.086934,True,True,34
S0184,Ana Palomino,22,F,PUCP,Diseño,3,1297,648,Comas,-11.991004,-77.061298,True,False,58
S0185,Gustavo Paredes,21,M,UNI,Psicología,4,962,481,San Isidro,-12.098663,-77.040558,False,False,52
S0186,Pablo Tello,21,M,UNI,Psicología,5,1554,777,Magdalena,-12.087374,-77.074227,False,False,48
S0187,Gabriel Romero,22,M,UCS,Administración,3,1488,744,Magdalena,-12.099736,-77.074535,True,True,42
S0188,Adrián Gutiérrez,22,M,UL,Arte,4,1529,764,Los Olivos,-11.969752,-77.067704,True,True,27
S0189,Ana Gómez,21,F,UPC,Arte,3,1458,729,Los Olivos,-11.964075,-77.072686,False,True,28
S0190,Rocío Molina,25,F,UL,Ingeniería,2,1395,698,Los Olivos,-11.968404,-77.061892,True,True,57
S0191,Adriana Ramírez,19,F,UCS,Diseño,2,1130,565,Los Olivos,-11.963894,-77.074922,True,False,48
S0192,Jorge Castillo,25,M,UPC,Administración,2,905,452,La Molina,-12.056329,-76.936369,True,True,30
S0193,Carlos Gutiérrez,18,M,UCS,Ingeniería,4,1387,694,La Molina,-12.057613,-76.927084,False,True,21
S0194,Flor Cabrera,21,F,UPC,Psicología,4,1435,718,La Molina,-12.056797,-76.923773,False,True,42
S0195,Esteban Romero,24,M,UL,Psicología,5,1482,741,Surco,-12.159404,-76.996388,True,False,54
S0196,Daniela Rojas,22,F,UCS,Economía,4,1226,613,Los Olivos,-11.961187,-77.06683,False,True,56
S0197,Luz Molina,18,F,UNI,Administración,2,1584,792,Los Olivos,-11.978307,-77.071116,True,False,38
S0198,Daniel Bravo,21,M,UTP,Arte,2,1103,552,La Molina,-12.063306,-76.919913,False,False,29
S0199,Adrián Rojas,24,M,UTP,Diseño,4,1178,589,Los Olivos,-11.974511,-77.073421,False,False,32
S0200,Marisol Silva,25,F,UNI,Derecho,3,1254,627,San Isidro,-12.092532,-77.040728,False,False,47
S0201,Ana Montoya,21,F,UAP,Diseño,3,926,463,San Isidro,-12.103787,-77.032715,False,True,46
S0202,Martín Mendoza,18,M,UNI,Ingeniería,4,1522,761,La Molina,-12.056521,-76.931786,False,False,34
S0203,Jessica Morales,21,F,UTP,Ingeniería,4,1396,698,San Miguel,-12.061795,-77.077982,False,False,23
S0204,Esteban Campos,24,M,UTP,Derecho,5,800,400,San Isidro,-12.105324,-77.026823,True,True,60
S0205,Bruno Reyes,22,M,UTP,Ingeniería,2,980,490,Comas,-12.002068,-77.07333,False,False,58
S0206,Diego Palomino,18,M,UCS,Economía,3,1535,768,Magdalena,-12.089375,-77.074799,True,True,42
S0207,Brenda Molina,22,F,PUCP,Economía,4,1002,501,Miraflores,-12.12099,-77.026121,False,True,55
S0208,Verónica Fernández,25,F,UNI,Psicología,4,1018,509,Miraflores,-12.11801,-77.019931,False,False,45
S0209,Melissa Romero,20,F,UNMSM,Arte,1,990,495,Los Olivos,-11.968014,-77.068466,True,True,50
S0210,Brenda Fernández,25,F,UPC,Administración,5,1176,588,Magdalena,-12.097942,-77.079839,True,False,33
S0211,Daniel Carrasco,23,M,PUCP,Arte,3,902,451,Comas,-11.990982,-77.060764,False,False,28
S0212,Oscar Ramírez,21,M,UPC,Administración,5,1527,764,Magdalena,-12.090438,-77.072371,True,False,21
S0213,Adriana Aguilar,21,F,UCS,Informática,1,1179,590,San Miguel,-12.052725,-77.088167,True,False,35
S0214,Patricia Rojas,19,F,UAP,Ciencias,2,841,420,Magdalena,-12.082656,-77.060889,False,True,45
S0215,Mario Delgado,24,M,UPC,Diseño,2,1596,798,Los Olivos,-11.967698,-77.065065,True,True,52
S0216,Paola Montoya,20,F,USIL,Ingeniería,3,1421,710,San Miguel,-12.054658,-77.086552,True,False,28
S0217,Julio Quispe,24,M,USIL,Diseño,1,1309,654,San Miguel,-12.056941,-77.081666,True,False,46
S0218,Alberto Cabrera,23,M,UL,Derecho,3,1374,687,Comas,-12.008435,-77.065327,False,True,38
S0219,Oscar Cruz,20,M,PUCP,Medicina,2,1206,603,Los Olivos,-11.963018,-77.06734,False,False,28
S0220,Jorge Ramírez,18,M,UAP,Administración,2,1437,718,Miraflores,-12.115369,-77.025008,True,True,54
S0221,Gabriela Molina,22,F,UCS,Ingeniería,3,1114,557,San Miguel,-12.053593,-77.091769,True,False,36
S0222,Julio Castillo,19,M,UTP,Ingeniería,2,1133,566,San Isidro,-12.087497,-77.027021,False,True,56
S0223,Tania Molina,20,F,UTP,Ingeniería,5,1021,510,La Molina,-12.068736,-76.933911,False,False,26
S0224,Carlos Quispe,25,M,UL,Arquitectura,1,960,480,Magdalena,-12.08952,-77.063205,True,True,36
S0225,Elías Carrasco,23,M,USIL,Economía,2,845,422,Los Olivos,-11.97724,-77.07679,False,False,57
S0226,Verónica Suárez,24,F,UTP,Administración,2,953,476,La Molina,-12.066657,-76.931336,True,True,36
S0227,Natalia Aguilar,18,F,UAP,Arquitectura,3,1446,723,Los Olivos,-11.960019,-77.060674,True,False,47
S0228,Pablo Peña,19,M,UL,Diseño,1,1536,768,San Miguel,-12.049445,-77.08778,False,True,53
S0229,Pedro Zamora,19,M,UCS,Administración,2,1260,630,Surco,-12.14257,-76.999421,False,True,29
S0230,Pedro Silva,18,M,PUCP,Psicología,3,1194,597,Miraflores,-12.118701,-77.02152,False,True,32
S0231,José Valdez,24,M,UPC,Economía,4,1167,584,La Molina,-12.0698,-76.923454,False,False,46
S0232,Elena Yáñez,23,F,PUCP,Ingeniería,2,1168,584,Comas,-12.000335,-77.066773,False,False,41
S0233,Gustavo Silva,19,M,UL,Derecho,2,1098,549,San Isidro,-12.088501,-77.030711,False,True,33
S0234,Renato Bravo,22,M,UTP,Ciencias,2,1042,521,Surco,-12.155175,-76.982985,True,True,56
S0235,Enrique Ramírez,20,M,UTP,Arte,4,1446,723,San Isidro,-12.094832,-77.042647,False,False,39
S0236,Alejandro Chávez,18,M,UCS,Diseño,2,982,491,Miraflores,-12.122681,-77.033809,False,False,57
S0237,Carlos Bravo,25,M,UL,Arte,2,1560,780,San Miguel,-12.059715,-77.094686,False,True,31
S0238,Gustavo Gutiérrez,25,M,UNMSM,Medicina,2,1235,618,Miraflores,-12.12727,-77.019618,False,False,27
S0239,Patricia Rojas,18,F,UCS,Medicina,5,1598,799,San Miguel,-12.04725,-77.077326,True,True,53
S0240,Pablo Vargas,21,M,USIL,Derecho,2,1093,546,Comas,-11.991611,-77.066286,False,False,50
S0241,Mónica Sánchez,25,F,UAP,Medicina,3,1583,792,La Molina,-12.069359,-76.930873,False,False,34
S0242,Marisol Díaz,24,F,UPC,Medicina,1,1365,682,Surco,-12.155761,-76.989546,False,True,57
S0243,Jorge Arroyo,23,M,UTP,Arquitectura,4,846,423,Magdalena,-12.09136,-77.070352,False,False,56
S0244,Pedro Pérez,24,M,USIL,Diseño,4,1394,697,La Molina,-12.072236,-76.923028,True,False,28
S0245,Rodrigo Ruiz,22,M,UTP,Administración,3,1107,554,Surco,-12.156995,-76.997579,False,False,48
